State,Year,Quarter,Transaction_count,Transaction_amount,Region
Arunachal_Pradesh,2019,1,6314,13738776.181438861,North-Eastern Region
Arunachal_Pradesh,2019,2,86433,246640891.34861863,North-Eastern Region
Arunachal_Pradesh,2019,2,37430,122521180.75595032,North-Eastern Region
Arunachal_Pradesh,2019,2,18693,48893746.831022196,North-Eastern Region
Arunachal_Pradesh,2019,2,18631,48891048.26477764,North-Eastern Region
Arunachal_Pradesh,2019,2,16494,46549881.23941852,North-Eastern Region
Arunachal_Pradesh,2019,2,15960,55915834.5871187,North-Eastern Region
Arunachal_Pradesh,2019,2,9637,22491356.65721929,North-Eastern Region
Arunachal_Pradesh,2019,2,8041,24549832.97718149,North-Eastern Region
Arunachal_Pradesh,2019,2,6868,18633793.43372325,North-Eastern Region
Arunachal_Pradesh,2019,2,6744,23464027.89281261,North-Eastern Region
Arunachal_Pradesh,2019,3,117940,301518075.7016427,North-Eastern Region
Arunachal_Pradesh,2019,3,53939,147186019.8759076,North-Eastern Region
Arunachal_Pradesh,2019,3,29218,58354823.443366826,North-Eastern Region
Arunachal_Pradesh,2019,3,24505,54539458.214344315,North-Eastern Region
Arunachal_Pradesh,2019,3,24097,72221026.28393415,North-Eastern Region
Arunachal_Pradesh,2019,3,22611,58040119.9573143,North-Eastern Region
Arunachal_Pradesh,2019,3,13453,25507641.015596062,North-Eastern Region
Arunachal_Pradesh,2019,3,11889,30014806.81680297,North-Eastern Region
Arunachal_Pradesh,2019,3,11249,21737827.19336869,North-Eastern Region
Arunachal_Pradesh,2019,3,10269,26620415.019238282,North-Eastern Region
Arunachal_Pradesh,2019,4,143272,378838002.3434037,North-Eastern Region
Arunachal_Pradesh,2019,4,66740,198205637.50055432,North-Eastern Region
Arunachal_Pradesh,2019,4,33963,71874990.9639822,North-Eastern Region
Arunachal_Pradesh,2019,4,30077,91949243.60711189,North-Eastern Region
Arunachal_Pradesh,2019,4,29281,67502324.59236205,North-Eastern Region
Arunachal_Pradesh,2019,4,26605,72075285.44344108,North-Eastern Region
Arunachal_Pradesh,2019,4,18290,32501252.235055383,North-Eastern Region
Arunachal_Pradesh,2019,4,16459,38467790.7269052,North-Eastern Region
Arunachal_Pradesh,2019,4,14581,39460255.46641725,North-Eastern Region
Arunachal_Pradesh,2019,4,11806,29634357.48680521,North-Eastern Region
Arunachal_Pradesh,2020,1,180373,457430754.15953165,North-Eastern Region
Arunachal_Pradesh,2020,1,75363,198712422.2374845,North-Eastern Region
Arunachal_Pradesh,2020,1,43858,93461363.58699806,North-Eastern Region
Arunachal_Pradesh,2020,1,36985,83701268.27182505,North-Eastern Region
Arunachal_Pradesh,2020,1,33743,82011539.42531273,North-Eastern Region
Arunachal_Pradesh,2020,1,31865,84425193.41571434,North-Eastern Region
Arunachal_Pradesh,2020,1,23112,46444942.9567038,North-Eastern Region
Arunachal_Pradesh,2020,1,19728,47929440.73153875,North-Eastern Region
Arunachal_Pradesh,2020,1,18369,40877851.79372531,North-Eastern Region
Arunachal_Pradesh,2020,1,15770,34273250.7179902,North-Eastern Region
Arunachal_Pradesh,2020,2,221728,535085907.34048563,North-Eastern Region
Arunachal_Pradesh,2020,2,95421,251395972.2250581,North-Eastern Region
Arunachal_Pradesh,2020,2,69279,128572447.9979738,North-Eastern Region
Arunachal_Pradesh,2020,2,56541,114730675.47714491,North-Eastern Region
Arunachal_Pradesh,2020,2,55680,112693868.80998951,North-Eastern Region
Arunachal_Pradesh,2020,2,44499,121561732.24171808,North-Eastern Region
Arunachal_Pradesh,2020,2,34972,54870798.314045325,North-Eastern Region
Arunachal_Pradesh,2020,2,32777,72790231.05472675,North-Eastern Region
Arunachal_Pradesh,2020,2,28830,63497030.84081016,North-Eastern Region
Arunachal_Pradesh,2020,2,26234,42360072.526896134,North-Eastern Region
Arunachal_Pradesh,2020,3,298350,859373863.7202579,North-Eastern Region
Arunachal_Pradesh,2020,3,111029,332812237.8096209,North-Eastern Region
Arunachal_Pradesh,2020,3,73842,159158438.9254108,North-Eastern Region
Arunachal_Pradesh,2020,3,69710,176323789.9443782,North-Eastern Region
Arunachal_Pradesh,2020,3,65889,156523653.18643108,North-Eastern Region
Arunachal_Pradesh,2020,3,56016,182137862.72423622,North-Eastern Region
Arunachal_Pradesh,2020,3,37019,76484566.53480485,North-Eastern Region
Arunachal_Pradesh,2020,3,34295,92449732.96070345,North-Eastern Region
Arunachal_Pradesh,2020,3,30046,81539831.5295825,North-Eastern Region
Arunachal_Pradesh,2020,3,27655,63469161.32860388,North-Eastern Region
Arunachal_Pradesh,2020,4,390528,1205917753.704622,North-Eastern Region
Arunachal_Pradesh,2020,4,129575,390436113.73663783,North-Eastern Region
Arunachal_Pradesh,2020,4,88632,250515095.18896663,North-Eastern Region
Arunachal_Pradesh,2020,4,84852,204367875.072993,North-Eastern Region
Arunachal_Pradesh,2020,4,80530,196997836.7993369,North-Eastern Region
Arunachal_Pradesh,2020,4,67262,240482254.58453602,North-Eastern Region
Arunachal_Pradesh,2020,4,46762,111916731.5168758,North-Eastern Region
Arunachal_Pradesh,2020,4,45207,125118193.0493962,North-Eastern Region
Arunachal_Pradesh,2020,4,36124,104709589.66019578,North-Eastern Region
Arunachal_Pradesh,2020,4,33455,81929299.56817816,North-Eastern Region
Arunachal_Pradesh,2021,1,419891,1388723426.715657,North-Eastern Region
Arunachal_Pradesh,2021,1,120906,384735272.8434415,North-Eastern Region
Arunachal_Pradesh,2021,1,82357,253988360.79783508,North-Eastern Region
Arunachal_Pradesh,2021,1,78849,220167765.51868472,North-Eastern Region
Arunachal_Pradesh,2021,1,72380,198534806.93418798,North-Eastern Region
Arunachal_Pradesh,2021,1,54137,207859088.4111589,North-Eastern Region
Arunachal_Pradesh,2021,1,45753,116637630.67690109,North-Eastern Region
