,State,Year,Quarter,District,Registered_users,Region
286,Arunachal Pradesh,2020,1,Namsai,6029,North-Eastern Region
287,Arunachal Pradesh,2020,1,West Siang,5757,North-Eastern Region
288,Arunachal Pradesh,2020,1,Lower Dibang Valley,4650,North-Eastern Region
289,Arunachal Pradesh,2020,1,Lower Subansiri,4351,North-Eastern Region
290,Arunachal Pradesh,2020,2,Papum Pare,59968,North-Eastern Region
291,Arunachal Pradesh,2020,2,West Kameng,15766,North-Eastern Region
292,Arunachal Pradesh,2020,2,Changlang,14036,North-Eastern Region
293,Arunachal Pradesh,2020,2,East Siang,13601,North-Eastern Region
294,Arunachal Pradesh,2020,2,Lohit,10154,North-Eastern Region
295,Arunachal Pradesh,2020,2,Tawang,8993,North-Eastern Region
296,Arunachal Pradesh,2020,2,Namsai,7426,North-Eastern Region
297,Arunachal Pradesh,2020,2,West Siang,7239,North-Eastern Region
298,Arunachal Pradesh,2020,2,Lower Dibang Valley,5782,North-Eastern Region
299,Arunachal Pradesh,2020,2,Lower Subansiri,5392,North-Eastern Region
300,Arunachal Pradesh,2020,3,Papum Pare,69419,North-Eastern Region
301,Arunachal Pradesh,2020,3,West Kameng,17636,North-Eastern Region
302,Arunachal Pradesh,2020,3,Changlang,16385,North-Eastern Region
303,Arunachal Pradesh,2020,3,East Siang,15921,North-Eastern Region
304,Arunachal Pradesh,2020,3,Lohit,11755,North-Eastern Region
305,Arunachal Pradesh,2020,3,Tawang,9944,North-Eastern Region
306,Arunachal Pradesh,2020,3,West Siang,8623,North-Eastern Region
307,Arunachal Pradesh,2020,3,Namsai,8553,North-Eastern Region
308,Arunachal Pradesh,2020,3,Lower Dibang Valley,6799,North-Eastern Region
309,Arunachal Pradesh,2020,3,Lower Subansiri,6456,North-Eastern Region
310,Arunachal Pradesh,2020,4,Papum Pare,77936,North-Eastern Region
311,Arunachal Pradesh,2020,4,West Kameng,19464,North-Eastern Region
312,Arunachal Pradesh,2020,4,Changlang,18203,North-Eastern Region
313,Arunachal Pradesh,2020,4,East Siang,17822,North-Eastern Region
314,Arunachal Pradesh,2020,4,Lohit,13126,North-Eastern Region
315,Arunachal Pradesh,2020,4,Tawang,10909,North-Eastern Region
316,Arunachal Pradesh,2020,4,West Siang,9911,North-Eastern Region
317,Arunachal Pradesh,2020,4,Namsai,9437,North-Eastern Region
318,Arunachal Pradesh,2020,4,Lower Dibang Valley,7693,North-Eastern Region
319,Arunachal Pradesh,2020,4,Lower Subansiri,7388,North-Eastern Region
320,Arunachal Pradesh,2021,1,Papum Pare,84715,North-Eastern Region
321,Arunachal Pradesh,2021,1,West Kameng,21027,North-Eastern Region
322,Arunachal Pradesh,2021,1,Changlang,19716,North-Eastern Region
323,Arunachal Pradesh,2021,1,East Siang,19342,North-Eastern Region
324,Arunachal Pradesh,2021,1,Lohit,14231,North-Eastern Region
325,Arunachal Pradesh,2021,1,Tawang,11778,North-Eastern Region
326,Arunachal Pradesh,2021,1,West Siang,10836,North-Eastern Region
327,Arunachal Pradesh,2021,1,Namsai,10242,North-Eastern Region
328,Arunachal Pradesh,2021,1,Lower Dibang Valley,8402,North-Eastern Region
329,Arunachal Pradesh,2021,1,Lower Subansiri,8044,North-Eastern Region
330,Arunachal Pradesh,2021,2,Papum Pare,90871,North-Eastern Region
331,Arunachal Pradesh,2021,2,West Kameng,22625,North-Eastern Region
332,Arunachal Pradesh,2021,2,Changlang,21404,North-Eastern Region
333,Arunachal Pradesh,2021,2,East Siang,20817,North-Eastern Region
334,Arunachal Pradesh,2021,2,Lohit,15360,North-Eastern Region
335,Arunachal Pradesh,2021,2,Tawang,12636,North-Eastern Region
336,Arunachal Pradesh,2021,2,West Siang,11657,North-Eastern Region
337,Arunachal Pradesh,2021,2,Namsai,11111,North-Eastern Region
338,Arunachal Pradesh,2021,2,Lower Dibang Valley,9094,North-Eastern Region
339,Arunachal Pradesh,2021,2,Lower Subansiri,8685,North-Eastern Region
340,Arunachal Pradesh,2021,3,Papum Pare,97854,North-Eastern Region
341,Arunachal Pradesh,2021,3,West Kameng,24489,North-Eastern Region
342,Arunachal Pradesh,2021,3,Changlang,23328,North-Eastern Region
343,Arunachal Pradesh,2021,3,East Siang,22538,North-Eastern Region
344,Arunachal Pradesh,2021,3,Lohit,16680,North-Eastern Region
345,Arunachal Pradesh,2021,3,Tawang,13650,North-Eastern Region
346,Arunachal Pradesh,2021,3,West Siang,12616,North-Eastern Region
347,Arunachal Pradesh,2021,3,Namsai,12140,North-Eastern Region
348,Arunachal Pradesh,2021,3,Lower Dibang Valley,9920,North-Eastern Region
349,Arunachal Pradesh,2021,3,Lower Subansiri,9451,North-Eastern Region
350,Arunachal Pradesh,2021,4,Papum Pare,104806,North-Eastern Region
351,Arunachal Pradesh,2021,4,West Kameng,26237,North-Eastern Region
352,Arunachal Pradesh,2021,4,Changlang,25155,North-Eastern Region
353,Arunachal Pradesh,2021,4,East Siang,24208,North-Eastern Region
354,Arunachal Pradesh,2021,4,Lohit,17980,North-Eastern Region
355,Arunachal Pradesh,2021,4,Tawang,14665,North-Eastern Region
356,Arunachal Pradesh,2021,4,West Siang,13555,North-Eastern Region
357,Arunachal Pradesh,2021,4,Namsai,13092,North-Eastern Region
358,Arunachal Pradesh,2021,4,Lower Dibang Valley,10679,North-Eastern Region
359,Arunachal Pradesh,2021,4,Lower Subansiri,10187,North-Eastern Region
360,Arunachal Pradesh,2022,1,Papum Pare,111271,North-Eastern Region
361,Arunachal Pradesh,2022,1,West Kameng,27860,North-Eastern Region
362,Arunachal Pradesh,2022,1,Changlang,26904,North-Eastern Region
363,Arunachal Pradesh,2022,1,East Siang,25763,North-Eastern Region
364,Arunachal Pradesh,2022,1,Lohit,19214,North-Eastern Region
365,Arunachal Pradesh,2022,1,Tawang,15589,North-Eastern Region
366,Arunachal Pradesh,2022,1,West Siang,14420,North-Eastern Region
367,Arunachal Pradesh,2022,1,Namsai,14054,North-Eastern Region
368,Arunachal Pradesh,2022,1,Lower Dibang Valley,11401,North-Eastern Region
369,Arunachal Pradesh,2022,1,Lower Subansiri,10854,North-Eastern Region
370,Arunachal Pradesh,2022,2,Papum Pare,117568,North-Eastern Region
371,Arunachal Pradesh,2022,2,West Kameng,29424,North-Eastern Region
372,Arunachal Pradesh,2022,2,Changlang,28495,North-Eastern Region
373,Arunachal Pradesh,2022,2,East Siang,27240,North-Eastern Region
374,Arunachal Pradesh,2022,2,Lohit,20325,North-Eastern Region
375,Arunachal Pradesh,2022,2,Tawang,16475,North-Eastern Region
376,Arunachal Pradesh,2022,2,West Siang,15231,North-Eastern Region
377,Arunachal Pradesh,2022,2,Namsai,14887,North-Eastern Region
378,Arunachal Pradesh,2022,2,Lower Dibang Valley,12040,North-Eastern Region
379,Arunachal Pradesh,2022,2,Lower Subansiri,11479,North-Eastern Region
380,Arunachal Pradesh,2022,3,Papum Pare,124095,North-Eastern Region
381,Arunachal Pradesh,2022,3,West Kameng,30964,North-Eastern Region
382,Arunachal Pradesh,2022,3,Changlang,29965,North-Eastern Region
383,Arunachal Pradesh,2022,3,East Siang,28698,North-Eastern Region
384,Arunachal Pradesh,2022,3,Lohit,21385,North-Eastern Region
385,Arunachal Pradesh,2022,3,Tawang,17281,North-Eastern Region
386,Arunachal Pradesh,2022,3,West Siang,16063,North-Eastern Region
387,Arunachal Pradesh,2022,3,Namsai,15642,North-Eastern Region
388,Arunachal Pradesh,2022,3,Lower Dibang Valley,12668,North-Eastern Region
389,Arunachal Pradesh,2022,3,Lower Subansiri,12085,North-Eastern Region
390,Arunachal Pradesh,2022,4,Papum Pare,130306,North-Eastern Region
391,Arunachal Pradesh,2022,4,West Kameng,32237,North-Eastern Region
392,Arunachal Pradesh,2022,4,Changlang,31196,North-Eastern Region
393,Arunachal Pradesh,2022,4,East Siang,30033,North-Eastern Region
394,Arunachal Pradesh,2022,4,Lohit,22359,North-Eastern Region
395,Arunachal Pradesh,2022,4,Tawang,18003,North-Eastern Region
396,Arunachal Pradesh,2022,4,West Siang,16816,North-Eastern Region
397,Arunachal Pradesh,2022,4,Namsai,16322,North-Eastern Region
398,Arunachal Pradesh,2022,4,Lower Dibang Valley,13188,North-Eastern Region
399,Arunachal Pradesh,2022,4,Lower Subansiri,12630,North-Eastern Region
400,Assam,2018,1,Kamrup Metropolitan,87336,North-Eastern Region
