State,Year,Quarter,Registered_users,Region
Assam,2018,4,41100,North-Eastern Region
Assam,2018,4,30132,North-Eastern Region
Assam,2019,1,255112,North-Eastern Region
Assam,2019,1,67729,North-Eastern Region
Assam,2019,1,66306,North-Eastern Region
Assam,2019,1,64241,North-Eastern Region
Assam,2019,1,62656,North-Eastern Region
Assam,2019,1,62218,North-Eastern Region
Assam,2019,1,54910,North-Eastern Region
Assam,2019,1,51108,North-Eastern Region
Assam,2019,1,48594,North-Eastern Region
Assam,2019,1,36652,North-Eastern Region
Assam,2019,2,299219,North-Eastern Region
Assam,2019,2,80544,North-Eastern Region
Assam,2019,2,79322,North-Eastern Region
Assam,2019,2,76533,North-Eastern Region
