State,Year,Quarter,Registered_users,App_opens,Region
Andhra_Pradesh,2021,3,2110878,106621413,Southern Region
Andhra_Pradesh,2021,3,2145423,104358295,Southern Region
Andhra_Pradesh,2021,3,1263550,90102349,Southern Region
Andhra_Pradesh,2021,3,784444,46277311,Southern Region
Andhra_Pradesh,2021,3,1183377,86369956,Southern Region
Andhra_Pradesh,2021,3,1436576,80244808,Southern Region
Andhra_Pradesh,2021,3,2007011,135043395,Southern Region
Andhra_Pradesh,2021,4,2294347,142536856,Southern Region
Andhra_Pradesh,2021,4,965335,61654215,Southern Region
Andhra_Pradesh,2021,4,2888774,188757640,Southern Region
Andhra_Pradesh,2021,4,1325728,86410317,Southern Region
Andhra_Pradesh,2021,4,1719437,120768682,Southern Region
Andhra_Pradesh,2021,4,1628242,97379271,Southern Region
Andhra_Pradesh,2021,4,2252443,130920743,Southern Region
Andhra_Pradesh,2021,4,2288148,134436469,Southern Region
Andhra_Pradesh,2021,4,1349290,90814672,Southern Region
Andhra_Pradesh,2021,4,839606,56101822,Southern Region
Andhra_Pradesh,2021,4,1262963,83534122,Southern Region
Andhra_Pradesh,2021,4,1532898,100007280,Southern Region
Andhra_Pradesh,2021,4,2141818,154395512,Southern Region
Andhra_Pradesh,2022,1,2432305,87134562,Southern Region
Andhra_Pradesh,2022,1,1027283,46691467,Southern Region
Andhra_Pradesh,2022,1,3061324,88803090,Southern Region
Andhra_Pradesh,2022,1,1408929,104851997,Southern Region
Andhra_Pradesh,2022,1,1827094,155792533,Southern Region
Andhra_Pradesh,2022,1,1729513,119653214,Southern Region
Andhra_Pradesh,2022,1,2387051,88844052,Southern Region
Andhra_Pradesh,2022,1,2423373,85871644,Southern Region
Andhra_Pradesh,2022,1,1431664,101671767,Southern Region
Andhra_Pradesh,2022,1,892889,44804002,Southern Region
Andhra_Pradesh,2022,1,1339782,98878499,Southern Region
Andhra_Pradesh,2022,1,1626039,87642475,Southern Region
Andhra_Pradesh,2022,1,2270705,144146671,Southern Region
Andhra_Pradesh,2022,2,2564165,93383888,Southern Region
Andhra_Pradesh,2022,2,1086164,51087942,Southern Region
Andhra_Pradesh,2022,2,3226029,93552701,Southern Region
Andhra_Pradesh,2022,2,1487589,108172758,Southern Region
Andhra_Pradesh,2022,2,1928213,181499094,Southern Region
Andhra_Pradesh,2022,2,1825280,136447455,Southern Region
Andhra_Pradesh,2022,2,2514794,91997209,Southern Region
Andhra_Pradesh,2022,2,2552107,95341487,Southern Region
Andhra_Pradesh,2022,2,1509927,108755384,Southern Region
Andhra_Pradesh,2022,2,943242,50230853,Southern Region
Andhra_Pradesh,2022,2,1412848,106157470,Southern Region
Andhra_Pradesh,2022,2,1714357,103338893,Southern Region
Andhra_Pradesh,2022,2,2392549,158771722,Southern Region
Andhra_Pradesh,2022,3,2702234,85780890,Southern Region
Andhra_Pradesh,2022,3,1147016,46323107,Southern Region
Andhra_Pradesh,2022,3,3397514,87888969,Southern Region
Andhra_Pradesh,2022,3,1567520,114185009,Southern Region
Andhra_Pradesh,2022,3,2030824,181038520,Southern Region
Andhra_Pradesh,2022,3,1924127,143715547,Southern Region
Andhra_Pradesh,2022,3,2647100,91146114,Southern Region
Andhra_Pradesh,2022,3,2685215,86220959,Southern Region
Andhra_Pradesh,2022,3,1588875,105928407,Southern Region
Andhra_Pradesh,2022,3,995141,46767889,Southern Region
Andhra_Pradesh,2022,3,1487140,107976611,Southern Region
Andhra_Pradesh,2022,3,1805967,97509407,Southern Region
Andhra_Pradesh,2022,3,2517657,162524274,Southern Region
Andhra_Pradesh,2022,4,2835087,173720880,Southern Region
Andhra_Pradesh,2022,4,1204785,72666058,Southern Region
Andhra_Pradesh,2022,4,3566854,208604256,Southern Region
Andhra_Pradesh,2022,4,1642503,94432083,Southern Region
Andhra_Pradesh,2022,4,2128066,136685634,Southern Region
Andhra_Pradesh,2022,4,2018290,105333688,Southern Region
Andhra_Pradesh,2022,4,2774365,144773169,Southern Region
Andhra_Pradesh,2022,4,2813645,156902257,Southern Region
Andhra_Pradesh,2022,4,1663684,103101986,Southern Region
Andhra_Pradesh,2022,4,1044490,64406405,Southern Region
Andhra_Pradesh,2022,4,1556901,93975668,Southern Region
Andhra_Pradesh,2022,4,1893310,129116752,Southern Region
Andhra_Pradesh,2022,4,2636036,189655966,Southern Region
Arunachal_Pradesh,2018,1,498,0,North-Eastern Region
Arunachal_Pradesh,2018,1,557,0,North-Eastern Region
